INPUT           ORIGINAL BASE   TARGET BASE     CONVERTED VALUE      CONVERTED VALUE IN BASE 10
8Oun            63              23              7BC5M                2099209                  
mT              52              52              mT                   2525                     
T               37              2               11101                29                       
Gae             49              48              HLi                  40220                    
J9B             63              24              5BM5                 75989                    
LI5A            23              49              2CLF                 265154                   
12              8               20              A                    10                       
31402332        5               30              9M1C                 262842                   
40              6               2               11000                24                       
4               17              25              4                    4                        
7               15              34              7                    7                        
2ue             58              43              5He                  10016                    
2MH             51              32              665                  6341                     
52051           7               38              8UZ                  12727                    
0               58              48              0                    0                        
3K              57              12              13B                  191                      
2G4D83          17              24              CFIN6                4199598                  
35              61              2               10111100             188                      
10              35              55              Z                    35                       
15XD            49              21              E3ED                 131284                   
5Ab             47              54              3po                  11552                    
QV9R            34              29              1EB38                1058073                  
20              6               23              C                    12                       
6T5             35              25              D9K                  8370                     
873J            20              33              1SDL                 66879                    
34SJK           34              37              28XEH                4199258                  
A7              40              33              CB                   407                      
gOX             56              45              1KWO                 133089                   
3EV             51              43              4QY                  8548                     
VYZA            51              63              Goow                 4202410                  
6V              38              10              259                  259                      
10221221200211  3               14              3CB267               2105131                  
0               4               63              0                    0                        
6               62              42              6                    6                        
4ok             61              5               1033410              17980                    
58ABC2          13              61              9Hkm                 2108940                  
EG              43              19              1DA                  618                      
R               31              22              15                   27                       
B93             25              22              EEJ                  7103                     
19              19              22              16                   28                       
1BF             33              17              515                  1467                     
1               39              9               1                    1                        
5               52              31              5                    5                        
41A             49              12              5713                 9663                     
FOC             26              51              47F                  10776                    
H               27              57              H                    17                       
1Ga             59              61              1C8                  4461                     
1C              23              25              1A                   35                       
18V             52              25              511                  3151                     
e               47              43              e                    40                       
19bgB           43              12              14A926A              4204594                  
164K            31              15              A8A1                 35701                    
1               61              42              1                    1                        
1IQO            35              45              WNO                  65859                    
48              45              29              6E                   188                      
200000202301    4               36              4ZUEP                8390833                  
1K              43              5               223                  63                       
53              12              63              10                   63                       
15AfC           44              12              14A3934              4195192                  
49D0            20              46              GhQ                  35860                    
5               39              22              5                    5                        
5T              44              58              4H                   249                      
1321512         6               55              O6o                  72980                    
12T             39              15              738                  1628                     
OV5b            44              11              1208314              2104689                  
L8              46              48              KE                   974                      
gRK             56              13              48857                133244                   
1               19              15              1                    1                        
C               50              36              C                    12                       
3Wh             44              13              33C5                 7259                     
ZL72            39              36              196U5                2108381                  
jAT             54              12              64325                131789                   
11A93           12              45              BcU                  24015                    
K9aD            47              3               10221120222102       2098046                  
38Y             61              41              6d0                  11685                    
7FD             59              48              AkH                  25265                    
VAH             47              15              1567B                68966                    
6JC             26              5               121222               4562                     
2b              45              2               1111111              127                      
QVG1            34              41              FEMY                 1058285                  
6B24F           20              61              4bs0                 1048895                  
455514101       6               54              rG4b                 8392501                  
9gcI            60              10              2097498              2097498                  
1318J           22              21              17H3B                266879                   
NLL             30              61              5j1                  21351                    
35198           12              7               414212               71108                    
35              31              32              32                   98                       
0               62              22              0                    0                        
K6              28              28              K6                   566                      
1Xc9K           47              38              40YFF                8390225                  
CZK             41              38              Eb5                  21627                    
456K            32              63              YN9                  136404                   
J86F            24              16              4149F                267423                   
2AB095          13              57              5crb                 1052485                  
5               54              22              5                    5                        
396             20              2               10101101010          1386                     
1SKL            33              14              1A658                67110                    
1221200011      3               46              I6Y                  38398                    
0               60              58              0                    0                        
1610            7               31              KO                   644                      
10003B          16              55              6Ga5                 1048635                  
9182A           11              13              49065                134100                   
7806012         9               15              57D7AE               4196864                  
OPh             52              33              1RR8                 66239                    
2CO5            26              46              KY9                  43893                    
FBE             34              12              A314                 17728                    
1Ln             51              43              20N                  3721                     
4smv            60              59              59qj                 1061337                  
D4              18              8               356                  238                      
4c4n            61              43              D8SS                 1049615                  
234             8               42              3U                   156                      
H79             32              6               213401               17641                    
0               38              57              0                    0                        
QGDD            43              63              8OR5                 2097338                  
15B3            18              53              2cL                  7653                     
48A             21              52              bI                   1942                     
10112200        3               54              lj                   2583                     
27BB            19              63              49M                  16465                    
5R2QC           29              12              14A5038              4197356                  
4200132         5               14              1B0DA                68792                    
2M              27              34              28                   76                       
63              7               39              16                   45                       
COD             37              63              4N4                  17329                    
Q7              38              27              19N                  995                      
JSc             42              26              1P9K                 34730                    
43050           6               29              6S4                  5862                     
aF              59              7               6144                 2139                     
34320213        6               20              6BB1D                1052433                  
B3B751          13              58              LT78                 4195322                  
1SA             38              4               213112               2518                     
4C              18              8               124                  84                       
F2D8            26              53              1fOK                 265338                   
1               42              60              1                    1                        
lh3k            56              31              92IEB                8389014                  
42E45           16              48              2Mi5                 273989                   
43              13              42              1D                   55                       
Gd              59              40              ON                   983                      
ASU             50              56              8Ns                  26430                    
7K              37              10              279                  279                      
1DI6AD          22              38              40aWH                8393761                  
7B3AA9          14              12              14A5271              4197685                  
2C              14              39              11                   40                       
113340403       5               43              6REa                 527603                   
5               6               25              5                    5                        
69FOL           34              42              2TA89                8389929                  
3B6FL           40              39              3OJYH                8394221                  
1UZW            43              14              37A70                136514                   
19MN            39              4               102002201            73889                    
1qT             56              26              8PJ                  6077                     
CE              18              17              D9                   230                      
232133313       5               63              4D8i                 1052333                  
17aT            38              38              17aT                 66377                    
6Pg             49              42              8b7                  15673                    
177183          11              7               2215054              273067                   
10              13              32              D                    13                       
0               45              61              0                    0                        
1CqE            60              48              2HfE                 262334                   
2               56              5               2                    2                        
20L0            32              22              64HA                 66208                    
3CcG            43              17              326DF                262359                   
2033324023      5               32              4047E                4198638                  
0               50              13              0                    0                        
8G              30              13              169                  256                      
14130           5               3               1121011              1165                     
4               49              18              4                    4                        
6               11              39              6                    6                        
R               43              35              R                    27                       
6EDC            18              5               2233044              39774                    
1k8o            52              59              1HFH                 265458                   
9169            49              15              15E7EA               1061545                  
150E            25              13              8705                 18764                    
25251           6               54              1Fn                  3775                     
100000000000000110000111 2               57              jH1O                 8388999                  
4Osr            62              13              2A95BC               1048969                  
26              39              46              1c                   84                       
1f              57              8               142                  98                       
cr8h            60              62              ZF2x                 8399323                  
C3              18              61              3a                   219                      
14FLG           37              3               10221121001110       2098101                  
34RU0           34              52              TiZS                 4198456                  
1DW5I           35              6               112542053            2097393                  
AS              34              21              HB                   368                      
1Tql            56              37              5BWB                 269519                   
OXPL            44              43              QMaH                 2109425                  
10000001010100001000 2               12              216634               529672                   
14EZ8           37              6               112541242            2097242                  
8E2             27              48              2XK                  6212                     
F               40              23              F                    15                       
0               63              35              0                    0                        
aO              63              53              hD                   2292                     
4FT             38              33              5S6                  6375                     
PK              53              41              WX                   1345                     
22              19              6               104                  40                       
6eX             50              19              2939                 17033                    
9R1R            38              4               2002012211           532901                   
4rDG            60              14              1D699A               1055596                  
111112          3               22              GD                   365                      
GB              20              36              97                   331                      
5MVk            58              55              6HVW                 1051412                  
77519           10              56              OeF                  77519                    
17BHG           21              30              9NRM                 264532                   
9               54              3               100                  9                        
8uP             63              63              8uP                  35305                    
7               11              7               10                   7                        
1T              55              22              3I                   84                       
29              18              57              j                    45                       
5               39              39              5                    5                        
3J2             31              35              2T9                  3474                     
6B341           20              27              1Q897                1049281                  
G7              21              8               527                  343                      
3               38              39              3                    3                        
115             13              51              3Y                   187                      
100000000010110110001 2               6               34301133             1050033                  
I               25              41              I                    18                       
1               45              46              1                    1                        
16              11              25              H                    17                       
1KOG            58              59              1GkB                 263800                   
B08             58              23              30M5                 37012                    
GMIL            25              35              65O6                 264221                   
1X4             59              52              20O                  5432                     
L9              23              33              EU                   492                      
41              44              42              49                   177                      
2UQ             40              37              38N                  4426                     
125             6               15              38                   53                       
12lZ            50              54              jLV                  132385                   
5B              36              39              4Z                   191                      
2GA             17              20              230                  860                      
5MUY            58              51              7lAS                 1051342                  
6BFe            44              59              2Z8Z                 533100                   
PP              26              26              PP                   675                      
28              15              51              c                    38                       
E               24              61              E                    14                       
9HMJ            24              55              iU5                  134755                   
269K            21              59              68J                  21377                    
55G2Q           30              14              7B45D4               4199486                  
WZ              48              58              R5                   1571                     
AY              44              26              I6                   474                      
29              59              26              4N                   127                      
49              12              25              27                   57                       
599             13              39              OZ                   971                      
20210021101     3               32              42F6                 133606                   
j4M             54              53              kgI                  131458                   
5R              42              27              8L                   237                      
33D5A           17              29              B115                 269154                   
1H6F            59              24              J3MD                 264925                   
47H0DC          18              16              800F2E               8392494                  
J6GC            38              42              E8C4                 1051852                  
41              27              14              7B                   109                      
PJN             36              5               2024412              33107                    
5k              63              63              5k                   361                      
18L             57              56              1AU                  3726                     
54H             52              15              4115                 13745                    
2C              25              35              1R                   62                       
100343          5               8               6227                 3223                     
YL9             62              48              19E7                 132007                   
21              5               56              B                    11                       
1RI             37              15              A91                  2386                     
4d              46              9               267                  223                      
8156            9               29              72J                  5964                     
DCV2            34              13              155494               525880                   
C               54              34              C                    12                       
B               38              17              B                    11                       
277             14              11              412                  497                      
1007C6          16              55              6HGB                 1050566                  
17B22           12              61              9Fc                  34442                    
1Y              41              32              2B                   75                       
NNA             42              46              JTA                  41548                    
43305           7               24              IH9                  10785                    
88PG            40              46              5IMa                 525816                   
17              51              5               213                  58                       
1323            6               11              289                  339                      
VJd             46              60              IST                  66509                    
1               47              41              1                    1                        
8008M           32              63              XYbw                 8388886                  
1B              46              44              1D                   57                       
I5              22              20              101                  401                      
0               51              55              0                    0                        
mQk             52              48              18j6                 131190                   
10              3               47              3                    3                        
211111110       3               30              I6L                  16401                    
205             6               40              1b                   77                       
7T              53              43              9D                   400                      
11100111        2               59              3s                   231                      
39h             52              19              14GG                 8623                     
7K02            33              27              DNPK                 273341                   
1KG             31              41              cd                   1597                     
4330631         7               46              5JZg                 528536                   
S               54              62              S                    28                       
0               29              4               0                    0                        
1K              22              20              22                   42                       
2204232         5               23              32M2                 38067                    
8M2             32              48              3fI                  8898                     
LSul            58              14              7B2A35               4194839                  
1010111101110101 2               7               244645               44917                    
UH6             33              57              AD6                  33237                    
T7CC            33              5               232101304            1050204                  
0               9               30              0                    0                        
39              15              35              1J                   54                       
1J8             20              63              CW                   788                      
9               15              2               1001                 9                        
G               48              25              G                    16                       
N2Td            45              22              8L7A5                2101269                  
3               28              7               3                    3                        
C               37              7               15                   12                       
C5              24              55              5I                   293                      
4               19              45              4                    4                        
67GS            44              52              3cFW                 525388                   
8C8V            40              14              DB9DD                531551                   
LM              43              8               1635                 925                      
1PH36           33              40              WYE4                 2102964                  
GGI3            40              61              4cGP                 1050323                  
RIB             35              22              33EC                 33716                    
123545          6               23              L51                  11225                    
13              19              36              M                    22                       
1A4             49              54              rX                   2895                     
J               28              26              J                    19                       
201             30              19              4IF                  1801                     
116K12          24              23              16MB08               8388890                  
3XDV            41              49              2BMD                 262800                   
JH              52              35              SP                   1005                     
V               50              60              V                    31                       
100011          2               58              Z                    35                       
0               55              42              0                    0                        
Cg              57              39              IO                   726                      
7A              41              11              250                  297                      
1N              41              60              14                   64                       
38815           10              51              El4                  38815                    
9T              45              29              ES                   434                      
CZi6            55              54              DJhh                 2104801                  
10221121220112  3               5               1014124344           2098724                  
1e              49              59              1U                   89                       
2B100A          13              27              1QLGO                1058964                  
2               20              58              2                    2                        
3               43              51              3                    3                        
2TT6            36              38              2FEA                 131946                   
CDJ             53              25              251G                 34416                    
74              15              44              2L                   109                      
3               35              25              3                    3                        
3x              63              60              48                   248                      
D               22              28              D                    13                       
92LFU           31              26              I9C35                8391947                  
4FB9            17              18              42B9                 24183                    
2               21              6               2                    2                        
2               10              26              2                    2                        
19D             47              49              14m                  2645                     
1322            4               18              6E                   122                      
3282F           17              2               1000000001001011110  262750                   
100             5               5               100                  25                       
E4WN            53              29              2RSLB                2097233                  
G5UA            32              36              BD8Q                 530378                   
G22H5           19              53              E5Ti                 2099904                  
212K0A          21              36              4ZTSJ                8390035                  
1243510         6               12              33596                68226                    
C               24              51              C                    12                       
6HG             42              17              2529                 11314                    
1               2               35              1                    1                        
1555            6               25              H6                   431                      
58F             59              12              A430                 17892                    
1               29              39              1                    1                        
4u8             58              48              7C8                  16712                    
130             4               7               40                   28                       
3               48              28              3                    3                        
331             4               29              23                   61                       
1G7J            46              32              40ED                 131533                   
U               40              10              30                   30                       
11111001101010  2               29              ISS                  15978                    
385             25              10              2080                 2080                     
4               26              48              4                    4                        
5N6             41              46              4JG                  9354                     
3cQB            52              25              18GCE                525939                   
1               52              56              1                    1                        
113243123       5               50              49jc                 524788                   
Gmzo            63              20              1647HH               4195157                  
3X              34              6               343                  135                      
4               25              19              4                    4                        
1               10              8               1                    1                        
31              60              24              7D                   181                      
2452505         6               17              19D11                131513                   
40YC7           38              28              DI5IF                8390103                  
3               23              10              3                    3                        
59717           25              58              Ahf7                 2098157                  
188             15              4               11201                353                      
A               21              61              A                    10                       
4               54              15              4                    4                        
C               44              29              C                    12                       
1HKH            28              30              19P7                 35857                    
M               36              7               31                   22                       
61L             48              10              13893                13893                    
4334251         7               11              331A9A               529726                   
4               11              42              4                    4                        
0               17              46              0                    0                        
4               60              46              4                    4                        
9m              49              51              9U                   489                      
AE              43              12              310                  444                      
13304011        5               6               2520241              134881                   
oNDY            55              56              lh4o                 8389074                  
2               13              36              2                    2                        
1               43              22              1                    1                        
TI              50              53              Rb                   1468                     
1186AC9         14              15              B0BD79               8393289                  
1               30              50              1                    1                        
25              6               62              H                    17                       
0               13              42              0                    0                        
NKc             53              46              V2H                  65705                    
1               2               57              1                    1                        
48              19              56              1S                   84                       
2AM3N           44              5               4122001104           8390779                  
66A0            13              34              CDC                  14326                    
7               52              30              7                    7                        
4SI             35              36              4JU                  5898                     
8               61              46              8                    8                        
AP              47              24              KF                   495                      
3BE             45              57              21T                  6584                     
23032           5               38              158                  1642                     
3c6j            52              35              C8I3                 524933                   
6KP4            55              54              6dU1                 1060129                  
DY              54              23              190                  736                      
F200            17              10              74273                74273                    
2               25              31              2                    2                        
5               46              35              5                    5                        
1eQ             56              20              DA2                  5402                     
0               40              30              0                    0                        
16              56              23              2G                   62                       
23              12              26              11                   27                       
V               46              57              V                    31                       
P2              40              39              PR                   1002                     
1               35              7               1                    1                        
1K              27              54              l                    47                       
11              37              36              12                   38                       
207B            13              25              74L                  4496                     
98V             46              35              FUI                  19443                    
2551353         6               12              68559                139029                   
3               30              4               3                    3                        
877             15              11              1489                 1912                     
3SGg            53              4               2000131131           526173                   
1oP             61              28              8IK                  6796                     
2OF             29              50              lh                   2393                     
iYP             55              3               20212011211          134995                   
23611246        7               7               23611246             2103751                  
294E7           15              57              emk                  132742                   
2               56              52              2                    2                        
49              10              47              12                   49                       
11303           4               46              83                   371                      
34254432        6               2               100000000001110010100 1049492                  
20000020102     4               39              ZE5S                 2097682                  
880174          9               34              DC60                 525028                   
4H6R            39              50              25Hi                 263394                   
298A720         12              3               120210112200020      8395656                  
33              4               20              F                    15                       
1NrV            57              58              1KA0                 262972                   
5bfg            45              13              158469               532437                   
6KCV            55              29              1ECLD                1059441                  
20001333320     4               40              WZXG                 2105336                  
3bT             47              37              64X                  8395                     
14D             16              54              69                   333                      
0               37              19              0                    0                        
111022220100    3               16              400E0                262368                   
0               57              6               0                    0                        
4AAJD           22              29              1E01J                1048775                  
108B            27              24              1ADE                 19910                    
59A3E           25              37              14H16                2100089                  
2               31              47              2                    2                        
9DD3            15              59              9aj                  33498                    
4KO             45              61              2Pv                  9024                     
1NKD            35              32              262J                 71763                    
8D1B            16              15              AA83                 36123                    
4VJK            38              58              1Kio                 264994                   
587B8A          13              19              G29AC                2102305                  
4               60              43              4                    4                        
1HE             48              31              383                  3134                     
5184            9               22              7II                  3802                     
9329            10              52              3NL                  9329                     
2AP             55              58              1uD                  6625                     
D               62              62              D                    13                       
